B,family,point,pattern,delta_R_weighted_nonfail,delta_R_count,delta_R_count_nonfail,delta_clean_starts,delta_clean_ratio,delta_starts,delta_attack_starts,delta_busy_steps,delta_utilization,delta_failures,delta_attack_failures,delta_clean_failures,delta_cost_per_step,delta_D95,delta_expired,delta_horizon,delta_final_active_Tminus1,delta_unfinished_T,delta_idle_with_waiting,delta_competition_steps,delta_no_eligible_with_free_waiting,delta_expiry_with_free_slot
1,A,Q25,cfD,-0.04008613526447591,0.0030284043441938246,-0.017752715121136298,2.5,0.0761143818334735,3.0,0.5,12.5,0.023148148148148195,4.5,3.5,1.0,-0.09011891066839084,1.5,-37.0,0.0,0.0,0.0,-104.5,-78.0,-104.5,-32.5
1,A,Q50,cfA,-0.07735810078404881,-0.17729293626154619,-0.17729293626154619,-1.0,-0.02439024390243902,-41.5,-40.5,-34.0,-0.062962962962963,-2.0,0.0,-2.0,-2.9114665919611227,1.0,-97.5,0.0,0.0,0.0,-137.0,-159.5,-137.0,-97.0
1,A,Q50,cfB,-0.11033599746460587,-0.2728625720891913,-0.2677864299572116,-2.0,-0.03571428571428571,-55.0,-53.0,-46.0,-0.0851851851851852,-1.0,-1.0,0.0,-4.556992034387294,2.5,-50.0,-6.0,0.0,0.0,-102.0,-103.0,-102.0,-48.0
1,A,Q50,cfC,-0.07133265327609861,-0.1786540555253131,-0.16967201959716927,-2.5,-0.056129032258064517,-33.0,-30.5,-31.0,-0.05740740740740735,-2.5,-1.5,-1.0,-2.431839506909898,0.5750000000000028,-65.0,-3.0,0.0,0.0,-101.0,-118.0,-101.0,-59.5
1,A,Q50,cfD,-0.08907591902496459,-0.18582915622389307,-0.18290517961570596,-3.0,-0.08830950378469303,-34.5,-31.5,-25.5,-0.04722222222222222,-2.0,-0.5,-1.5,-2.7164832659075735,1.5,-37.5,0.0,0.0,0.0,-104.5,-104.5,-104.5,-32.5
1,A,Q60,cfA,-0.08561904854491631,-0.20356636388026528,-0.19491395500364117,-3.0,-0.05557270762581043,-49.5,-46.5,-40.5,-0.07500000000000001,-4.0,-2.0,-2.0,-3.393016429533139,1.0,-106.0,0.0,0.0,0.0,-137.0,-164.0,-137.0,-100.0
1,A,Q60,cfB,-0.1451262949628288,-0.34202833071996175,-0.326720174342892,-3.0,-0.05612244897959184,-69.5,-66.5,-62.0,-0.11481481481481487,-3.0,-3.0,0.0,-5.538242841854897,2.5,-52.0,-6.0,0.0,0.0,-102.0,-124.5,-102.0,-49.5
1,A,Q60,cfC,-0.11479374761591654,-0.2579613500272183,-0.23999727817093086,-2.5,-0.056129032258064517,-46.5,-44.0,-45.0,-0.08333333333333331,-4.0,-3.0,-1.0,-3.726602147016786,0.5750000000000028,-68.5,-3.0,0.0,0.0,-101.0,-127.0,-101.0,-62.5
1,A,Q60,cfD,-0.11511366869188766,-0.24483082706766912,-0.2389828738512949,-3.0,-0.08830950378469303,-44.5,-41.5,-37.5,-0.06944444444444442,-2.5,-1.0,-1.5,-3.46017719522432,1.5,-37.5,0.0,0.0,0.0,-104.5,-122.0,-104.5,-32.5
1,A,Q70,cfA,-0.14558152308642036,-0.2578283699359933,-0.24917596105936918,-4.0,-0.0682309354739117,-63.0,-59.0,-65.0,-0.1203703703703704,-4.0,-2.0,-2.0,-4.340240204577375,1.0,-126.0,0.0,0.0,0.0,-137.0,-202.5,-137.0,-112.0
