holdout_id,budget,comparator,match_type,comparator_scheduler_recall,comparator_absolute_recall,source_retained_absolute_recall,source_retained_scheduler_recall,source_retained_served_attack_mass,source_retained_backend_fail,source_retained_cost,source_retained_clean,source_retained_served_count,source_minus_comparator_scheduler_recall,source_minus_comparator_absolute_recall
cfA_frontloaded_1_seed20260512_off1080,2,winner_replay,cost,0.1430020283975659,0.13623188405797101,0.14347826086956522,0.15060851926977686,69.60000000000001,151,347.41199797334775,12,180,0.007606490872210964,0.007246376811594207
cfA_frontloaded_1_seed20260512_off1080,2,winner_replay,backend_fail,0.1430020283975659,0.13623188405797101,0.14347826086956522,0.15060851926977686,70.35000000000001,152,349.709266200196,12,181,0.007606490872210964,0.007246376811594207
cfA_frontloaded_1_seed20260512_off1080,2,winner_replay,clean_service,0.1430020283975659,0.13623188405797101,0.17971014492753626,0.18864097363083165,79.35000000000001,160,384.88555565807474,13,194,0.045638945233265754,0.043478260869565244
cfB_backloaded_0_seed20260521_off1140,2,winner_replay,served_count,0.1364365971107543,0.13333333333333328,0.18980392156862744,0.1942215088282503,83.95000000000006,119,347.8738439467206,9,154,0.057784911717496,0.05647058823529416
cfB_backloaded_0_seed20260521_off1140,2,winner_replay,cost,0.1364365971107543,0.13333333333333328,0.1862745098039216,0.19060995184590684,81.84999999999998,108,280.5170029326737,9,140,0.05417335473515256,0.052941176470588325
cfB_backloaded_0_seed20260521_off1140,2,winner_replay,backend_fail,0.1364365971107543,0.13333333333333328,0.19098039215686272,0.1954253611556981,85.0000000000001,125,361.99810324193913,9,161,0.058988764044943826,0.05764705882352944
cfB_backloaded_0_seed20260521_off1140,2,winner_replay,clean_service,0.1364365971107543,0.13333333333333328,0.0,0.0,0.0,7,38.99956339302116,7,7,-0.1364365971107543,-0.13333333333333328
cfB_backloaded_1_seed20260522_off1200,2,winner_replay,served_count,0.15319999999999998,0.15019607843137253,0.15725490196078432,0.1604,62.149999999999864,111,199.60588060802047,7,137,0.007200000000000012,0.007058823529411784
cfB_backloaded_1_seed20260522_off1200,2,winner_replay,cost,0.15319999999999998,0.15019607843137253,0.15372549019607848,0.15680000000000002,56.599999999999916,77,186.81537469802515,7,100,0.0036000000000000476,0.0035294117647059475
cfB_backloaded_1_seed20260522_off1200,2,winner_replay,backend_fail,0.15319999999999998,0.15019607843137253,0.15725490196078432,0.1604,62.149999999999864,111,199.60588060802047,7,137,0.007200000000000012,0.007058823529411784
cfB_backloaded_1_seed20260522_off1200,2,winner_replay,clean_service,0.15319999999999998,0.15019607843137253,0.1584313725490196,0.16159999999999997,63.049999999999855,124,218.83559792428287,15,151,0.00839999999999999,0.008235294117647063
cfC_interleaved_0_seed20260611_off1260,2,winner_replay,served_count,0.12345013477088933,0.12116402116402115,0.1814814814814815,0.18490566037735826,54.59999999999994,92,224.14348513564073,0,116,0.06145552560646893,0.06031746031746034
cfC_interleaved_0_seed20260611_off1260,2,winner_replay,cost,0.12345013477088933,0.12116402116402115,0.1814814814814815,0.18490566037735826,50.59999999999995,82,209.18806142532867,0,106,0.06145552560646893,0.06031746031746034
cfC_interleaved_0_seed20260611_off1260,2,winner_replay,backend_fail,0.12345013477088933,0.12116402116402115,0.1814814814814815,0.18490566037735826,57.39999999999993,99,233.5654994630895,0,123,0.06145552560646893,0.06031746031746034
cfC_interleaved_0_seed20260611_off1260,2,winner_replay,clean_service,0.12345013477088933,0.12116402116402115,0.1814814814814815,0.18490566037735826,60.599999999999916,108,249.1539949005637,1,132,0.06145552560646893,0.06031746031746034
cfC_interleaved_1_seed20260612_off1320,2,winner_replay,served_count,0.12697547683923685,0.12328042328042327,0.18941798941798935,0.1950953678474111,56.24999999999994,111,319.0667535717339,25,137,0.06811989100817425,0.06613756613756608
cfC_interleaved_1_seed20260612_off1320,2,winner_replay,cost,0.12697547683923685,0.12328042328042327,0.18095238095238092,0.18637602179836482,53.84999999999995,107,291.7459348727398,25,131,0.05940054495912797,0.05767195767195765
cfC_interleaved_1_seed20260612_off1320,2,winner_replay,backend_fail,0.12697547683923685,0.12328042328042327,0.202116402116402,0.2081743869209805,59.04999999999993,117,349.5241208380439,27,146,0.08119891008174365,0.07883597883597873
