stage,stage_label,aggregate,holdout_tag,family_tag,slot_budget,variant,proxy,proxy_recall,served_attack_jobs,served_clean_jobs,backend_fail_count,average_service_cost_per_step
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,2,topk_expected_consequence,recovery_aware_proxy,0.7584317032040478,168,9,139,0.720351814931773
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,2,topk_expected_consequence,burden_proxy,0.8315959265227744,168,9,139,0.720351814931773
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,1,phase3_oracle_upgrade,current_product_proxy,0.33879999999999943,107,21,110,0.3044111186367639
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,1,phase3_oracle_upgrade,additive_proxy,0.42678645187938913,107,21,110,0.3044111186367639
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,1,phase3_oracle_upgrade,backend_success_weighted_proxy,0.21158911325724344,107,21,110,0.3044111186367639
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,1,phase3_oracle_upgrade,recovery_aware_proxy,0.338969072164948,107,21,110,0.3044111186367639
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,1,phase3_oracle_upgrade,burden_proxy,0.5284835124989464,107,21,110,0.3044111186367639
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,1,phase3_proposed,current_product_proxy,0.3439999999999995,107,23,112,0.3338688068155155
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,1,phase3_proposed,additive_proxy,0.42916150351094634,107,23,112,0.3338688068155155
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,1,phase3_proposed,backend_success_weighted_proxy,0.21158911325724344,107,23,112,0.3338688068155155
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,1,phase3_proposed,recovery_aware_proxy,0.344329896907216,107,23,112,0.3338688068155155
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,1,phase3_proposed,burden_proxy,0.5266741490769482,107,23,112,0.3338688068155155
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,1,topk_expected_consequence,current_product_proxy,0.3607999999999994,109,23,113,0.33308662187452465
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,1,topk_expected_consequence,additive_proxy,0.44299876084262746,109,23,113,0.33308662187452465
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,1,topk_expected_consequence,backend_success_weighted_proxy,0.23002633889376672,109,23,113,0.33308662187452465
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,1,topk_expected_consequence,recovery_aware_proxy,0.3616494845360819,109,23,113,0.33308662187452465
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,1,topk_expected_consequence,burden_proxy,0.5328724306107069,109,23,113,0.33308662187452465
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,2,phase3_oracle_upgrade,current_product_proxy,0.5043999999999987,136,23,132,0.4288685609462753
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,2,phase3_oracle_upgrade,additive_proxy,0.5918009087154057,136,23,132,0.4288685609462753
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,2,phase3_oracle_upgrade,backend_success_weighted_proxy,0.35469710272168603,136,23,132,0.4288685609462753
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,2,phase3_oracle_upgrade,recovery_aware_proxy,0.4977319587628855,136,23,132,0.4288685609462753
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,2,phase3_oracle_upgrade,burden_proxy,0.6810748803385903,136,23,132,0.4288685609462753
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,2,phase3_proposed,current_product_proxy,0.5548000000000007,142,23,134,0.5128563622506969
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,2,phase3_proposed,additive_proxy,0.6333126807104479,142,23,134,0.5128563622506969
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,2,phase3_proposed,backend_success_weighted_proxy,0.42844600526777926,142,23,134,0.5128563622506969
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,2,phase3_proposed,recovery_aware_proxy,0.5496907216494843,142,23,134,0.5128563622506969
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,2,phase3_proposed,burden_proxy,0.718501740035841,142,23,134,0.5128563622506969
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,2,topk_expected_consequence,current_product_proxy,0.5548000000000007,142,23,137,0.45022037735319476
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,2,topk_expected_consequence,additive_proxy,0.6333126807104479,142,23,137,0.45022037735319476
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,2,topk_expected_consequence,backend_success_weighted_proxy,0.37313432835820937,142,23,137,0.45022037735319476
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,2,topk_expected_consequence,recovery_aware_proxy,0.5496907216494843,142,23,137,0.45022037735319476
source_frozen,source-frozen transfer,v1,cfB_backloaded_1_seed20260522_off1200,cfB_backloaded,2,topk_expected_consequence,burden_proxy,0.7075191114058953,142,23,137,0.45022037735319476
source_frozen,source-frozen transfer,v2,cfC_interleaved_0_seed20260611_off1260,cfC_interleaved,1,phase3_oracle_upgrade,current_product_proxy,0.4145552560646888,101,2,93,0.40752433307193653
source_frozen,source-frozen transfer,v2,cfC_interleaved_0_seed20260611_off1260,cfC_interleaved,1,phase3_oracle_upgrade,additive_proxy,0.500640697078421,101,2,93,0.40752433307193653
source_frozen,source-frozen transfer,v2,cfC_interleaved_0_seed20260611_off1260,cfC_interleaved,1,phase3_oracle_upgrade,backend_success_weighted_proxy,0.1990521327014217,101,2,93,0.40752433307193653
source_frozen,source-frozen transfer,v2,cfC_interleaved_0_seed20260611_off1260,cfC_interleaved,1,phase3_oracle_upgrade,recovery_aware_proxy,0.42265669925244265,101,2,93,0.40752433307193653
source_frozen,source-frozen transfer,v2,cfC_interleaved_0_seed20260611_off1260,cfC_interleaved,1,phase3_oracle_upgrade,burden_proxy,0.6213566878531032,101,2,93,0.40752433307193653
