method,calibration_mode,holdout_id,B,alpha,fail_cap_quantile,recall,scheduler_recall,backend_fail,cost,unnecessary,served_ratio,served_attack_mass,backend_success_attack_mass,clean_service,served_clean_count,served_attack_count,recover_fail,recover_fail_attack,recover_fail_clean,delay_p50,delay_p95,average_service_time,average_service_cost,total_service_cost,actual_backend_fail_used_in_decision,actual_recover_fail_used_in_decision,component
source_frozen_transfer,,cfB_backloaded_0_seed20260521_off1140,2,0.0,,0.19662921348314605,0.19662921348314605,133,0.6918275160619302,9,0.8133971291866029,86.35,24.499999999999996,9,9,161,7,6,1,0.0,7.0,17.806876153104447,2.1975697569026016,373.5868586734423,False,False,none
fail_only_alpha_0.25,,cfB_backloaded_0_seed20260521_off1140,2,0.25,,0.19662921348314605,0.19662921348314605,129,0.6499863097652636,5,0.7942583732057417,86.35,24.499999999999996,5,5,161,7,6,1,0.0,8.0,18.153882428824183,2.1144132968267613,350.99260727324236,False,False,fail_only
fail_only_alpha_0.5,,cfB_backloaded_0_seed20260521_off1140,2,0.5,,0.19662921348314605,0.19662921348314605,129,0.6525499976722822,3,0.7942583732057417,89.35,24.499999999999996,3,3,163,7,6,1,0.0,7.0,17.985515294304815,2.1227530044760985,352.37699874303235,False,False,fail_only
fail_only_alpha_1.0,,cfB_backloaded_0_seed20260521_off1140,2,1.0,,0.21348314606741572,0.21348314606741572,129,0.6681444896374682,3,0.8038277511961722,92.35,26.599999999999998,3,3,165,6,5,1,0.0,6.650000000000006,18.197730148122425,2.1476072881204336,360.7980244042328,False,False,fail_only
cost_time_only_alpha_0.25,,cfB_backloaded_0_seed20260521_off1140,2,0.25,,0.19662921348314605,0.19662921348314605,147,0.7365922707926782,9,0.8803827751196173,101.04999999999998,24.499999999999996,9,9,175,8,7,1,0.0,6.0,16.000792635523755,2.1617381860219904,397.7598262280462,False,False,cost_time_only
cost_time_only_alpha_0.5,,cfB_backloaded_0_seed20260521_off1140,2,0.5,,0.20505617977528087,0.20505617977528087,138,0.66407143222575,7,0.8421052631578947,94.74999999999999,25.549999999999997,7,7,169,7,6,1,0.0,8.0,16.819638986479152,2.0374918943290057,358.598573401905,False,False,cost_time_only
cost_time_only_alpha_1.0,,cfB_backloaded_0_seed20260521_off1140,2,1.0,,0.18820224719101122,0.18820224719101122,136,0.6280193103612655,6,0.8229665071770335,91.6,23.449999999999996,6,6,166,7,6,1,0.0,6.0,17.355540723301644,1.9716885325295543,339.13042759508335,False,False,cost_time_only
full_trbg_alpha_0.25,,cfB_backloaded_0_seed20260521_off1140,2,0.25,,0.20505617977528087,0.20505617977528087,142,0.693859128824301,5,0.861244019138756,101.04999999999998,25.549999999999997,5,5,175,8,7,1,0.0,7.049999999999983,16.434745340877107,2.081577386472903,374.6839295651225,False,False,full_trbg
full_trbg_alpha_0.5,,cfB_backloaded_0_seed20260521_off1140,2,0.5,,0.20505617977528087,0.20505617977528087,140,0.6880898041020743,4,0.8516746411483254,100.89999999999999,25.549999999999997,4,4,174,8,7,1,0.0,6.150000000000006,16.558357939291536,2.0874634506467427,371.56849421512015,False,False,full_trbg
full_trbg_alpha_1.0,,cfB_backloaded_0_seed20260521_off1140,2,1.0,,0.21348314606741572,0.21348314606741572,137,0.6862687339542727,4,0.8421052631578947,99.69999999999999,26.599999999999998,4,4,172,7,6,1,0.0,6.0,16.764587684111163,2.105597251905155,370.58511633530725,False,False,full_trbg
source_frozen_transfer,,cfB_backloaded_1_seed20260522_off1200,1,0.0,,0.0964,0.0964,110,0.3044111186367639,21,0.5871559633027523,42.349999999999994,12.049999999999999,21,21,107,7,5,2,0.0,8.0,14.09472974948585,1.2842344067488476,164.3820040638525,False,False,none
fail_only_alpha_0.25,,cfB_backloaded_1_seed20260522_off1200,1,0.25,,0.0964,0.0964,109,0.331281381647884,19,0.5825688073394495,42.75,12.049999999999999,19,19,108,7,5,2,0.0,8.0,14.158598730883261,1.4085980007075383,178.89194608985736,False,False,fail_only
fail_only_alpha_0.5,,cfB_backloaded_1_seed20260522_off1200,1,0.5,,0.10480000000000002,0.10480000000000002,109,0.3485499512362948,17,0.5871559633027523,45.9,13.099999999999998,17,17,111,7,5,2,0.0,8.0,13.942567678168416,1.4704451067781186,188.21697366759918,False,False,fail_only
fail_only_alpha_1.0,,cfB_backloaded_1_seed20260522_off1200,1,1.0,,0.10480000000000002,0.10480000000000002,107,0.34879502065031187,16,0.5779816513761468,45.75,13.099999999999998,16,16,110,7,5,2,0.0,8.0,13.740939002188425,1.494835802787051,188.34931115116842,False,False,fail_only
