source,arm,ordinal,offset,objective,rmse_complex,rmse_magnitude,rmse_angle,ddd_loss,ddd_alarm,bdd_alarm,P_balance_pu,Q_balance_pu,returned_flow_pu,V_violation_pu,P_gen_violation_pu,Q_gen_violation_pu,active_limit_violation_pu
OPSD_DE_2016-07-15,I,66,4,15582.589981636784,0.0017930629278487022,0.0002755104840642754,0.001722136745775175,0.015245847404003143,1,0,8.830983000418513e-08,3.917051801943794e-07,8.881784197001252e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,I,67,5,15635.880986510914,0.0013900093597512832,0.0007820494440245359,0.0011222136393700894,0.018167616799473763,1,0,9.68365985176689e-08,4.5847066547366477e-07,1.898076052801724e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,I,68,6,15689.202132741528,0.001087062696445763,0.0006650294947209772,0.0008318397186992124,0.020374735817313194,1,0,1.0979182674120125e-07,5.443555988610127e-07,1.7958200611075785e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,I,69,7,15747.34306222566,0.0012481811051963032,0.00038566549599661513,0.0011455350377032607,0.021750694140791893,1,0,1.8551463698557313e-09,1.0134071234957354e-08,1.8361468368662893e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,I,70,8,15805.528662567862,0.0014311730295030799,0.00018826887479176592,0.00137093868367896,0.023045869544148445,1,0,3.971303730310183e-09,2.2165003166207953e-08,1.807312143953211e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,I,71,9,15863.759006199007,0.0009795545148433146,0.0005110082213234294,0.0008104004018456302,0.02428268827497959,1,0,8.934316841902046e-09,5.035357036886623e-08,9.024030855086507e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,I,72,10,15882.1852288959,0.003880434181697416,0.0004964713589043707,0.003730294844314793,0.02531505562365055,1,0,1.6105797140397726e-08,9.11476035758696e-08,4.613190423717512e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,I,73,11,15900.637623793895,0.002418466179977461,0.00027534248383077745,0.002341812241994579,0.027568476274609566,1,0,2.8096782456188407e-08,1.5933517363841965e-07,1.7958200611075785e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,I,74,12,15919.116235654234,0.0008611165490524037,0.00024934684917556895,0.0008057886813572025,0.029704982414841652,1,0,4.682103416087102e-08,2.658057669663316e-07,3.745666090146335e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,D,63,1,15101.97417844738,0.00043422522618039857,0.0002350028723053173,0.0003543949693316492,0.006796491332352161,1,0,1.462057364065572e-09,1.112838193817467e-08,9.829745943304315e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,D,64,2,15329.306265510597,0.0015510584980856106,0.0004183413311923726,0.0014342308582908085,0.00869154091924429,1,0,5.68950899726417e-08,2.012740507040256e-07,1.839543176334585e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,D,65,3,15529.329135216349,0.0020338760967935866,0.000494966281015376,0.001911666352480314,0.010529444552958012,1,0,6.972785449033125e-08,2.926286726268046e-07,1.0103182026100664e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,D,66,4,15582.589981636784,0.0017930629278487022,0.0002755104840642754,0.001722136745775175,0.013429339975118637,1,0,8.830983000418513e-08,3.917051801943794e-07,8.881784197001252e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,D,67,5,15635.880986510914,0.0013900093597512832,0.0007820494440245359,0.0011222136393700894,0.016281599178910255,1,0,9.68365985176689e-08,4.5847066547366477e-07,1.898076052801724e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,D,68,6,15689.202132741528,0.001087062696445763,0.0006650294947209772,0.0008318397186992124,0.018517808988690376,1,0,1.0979182674120125e-07,5.443555988610127e-07,1.7958200611075785e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,D,69,7,15747.34306222566,0.0012481811051963032,0.00038566549599661513,0.0011455350377032607,0.021750694140791893,1,0,1.8551463698557313e-09,1.0134071234957354e-08,1.8361468368662893e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,D,70,8,15805.528662567862,0.0014311730295030799,0.00018826887479176592,0.00137093868367896,0.023045869544148445,1,0,3.971303730310183e-09,2.2165003166207953e-08,1.807312143953211e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,D,71,9,15863.759006199007,0.0009795545148433146,0.0005110082213234294,0.0008104004018456302,0.02428268827497959,1,0,8.934316841902046e-09,5.035357036886623e-08,9.024030855086507e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,D,72,10,15882.1852288959,0.003880434181697416,0.0004964713589043707,0.003730294844314793,0.02531505562365055,1,0,1.6105797140397726e-08,9.11476035758696e-08,4.613190423717512e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,D,73,11,15900.637623793895,0.002418466179977461,0.00027534248383077745,0.002341812241994579,0.027568476274609566,1,0,2.8096782456188407e-08,1.5933517363841965e-07,1.7958200611075785e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,D,74,12,15919.116235654234,0.0008611165490524037,0.00024934684917556895,0.0008057886813572025,0.029704982414841652,1,0,4.682103416087102e-08,2.658057669663316e-07,3.745666090146335e-15,0.0,0.0,0.0,0.0
